# polkadot_nominators_session_6041.csv polkadot_validators_session_6041.csv
0,111B8CxcmnWbuDLyGvgUmRezDCK1brRZmvUuQ6SrFdMyc3S
1,114SUbKCXjmb9czpWTtS3JANSmNRwVa4mmsMrWYpRG1kDH5
2,11uMPbeaEDJhUxzU4ZfWW9VQEsryP9XqFcNRfPdYda6aFWJ
3,1123RekaPHgWaPL5v9qfsikRemeZdYC4tvKXYuLXwhfT3NKy
4,13mK8AssyPekT5cFuYQ7ijKNXcjHPq8Gnx6TxF5eFCAwoLQ
5,17bR6rzVsVrzVJS1hM4dSJU43z2MUmz7ZDpPLh8y2fqVg7m
6,19K3AKAkcrVWcXrXCXJ1fbaySuo58kUXhpsh7gBpa6emdgz
7,1A2ATy1FEu5yQ9ZzghPLsRckPQ7XLmq5MJQYcTvGnxGvCho
8,1AvwyrRcECEWUnkRoqfcyT2oA11uBT66aS4p127Mbs4ocjq
9,1BdoL1BP36SZGEKR4iX8ksou2GTnrDd5of99SWK82c3A4aB
10,1CKUGhSt9nkJ7EcitGvrKN67937XssYvYfdd58KiLKC219S
11,1Ew5wAsMtvbRdd4RdxSheLpEkSRc718gtcfTv8EmgzEbknA
12,1F7Xgr5VM5RiYmkCxS1xWH6GbcBgSA5Jpq1H6XpXnxFJ5KH
13,1KmtAWkiVGRdMB9mBV6JVAcRw7ce8tZKY3L5ZH7uTNK4yMx
14,1LMtHkfrADk7awSEFC45nyDKWxPu9cK796vtrf7Fu3NZQmB
15,1Ntvj8hmfWFiemKLCW7uh4WxJ31UvirWc27A3m4aYocoCvP
16,1REAJ1k691g5Eqqg9gL7vvZCBG7FCCZ8zgQkZWd4va5ESih
17,1RG5T6zGY4XovW75mTgpH6Bx7Y6uwwMmPToMCJSdMwdm4EW
18,1RJP5i7zuyBLtgGTMCD9oF8zQMTQvfc4zpKNsVxfvTKdHmr
19,1TunGctS5HELfuJZjd5qBNoMVsST2EBdMw5vWK8f3dCFbq9
20,1UQC7Vs4zbywp8CbxcCCRUyyRqeUZxq9aXeD8UZ3MpLUy12
21,1VzLR7pDbcSsJqXHaRZFzwCtSgjNWEcLddSfWij7Jx3p8FK
22,1Wo6qcrh7wxc1kQY5nfixFuCAFuzkgiwau64SmrPXBE7vVf
23,1XQn94kWaMVJG16AWPKGmYFERfttsjZq4ompSTz2jxHK6uL
24,1YguHoyxTecVDPRksktGPPTXDMLbCoDaGprv1zcQNNWyC3X
25,1ZHNWmKsVHCS528yKDteRPpnx5hTrGUZvyjEpvaWppKDiPt
26,1ZKHNRib33noQn1FpjFsPCHuVYUfci5TXy4Lif1FcUUwZe6
27,1ZhsUETRc5VQx4j6udFXUUTUHqrXVeos4Y4u5q1fPybgATT
28,1bAVKRsNUbq1Qmvj7Cemkncjo17WgyWAusCFZQdUfeHSTYj
29,1dGsgLgFez7gt5WjX2FYzNCJtaCjGG6W9dA42d9cHngDYGg
30,1dquPs8HbmkE5Zw6i6PA4VtVstjtaFCzxugSX1h9ujoNWpZ
31,1eLUhRLQiikdt4zUrYdY4LwdwYDsStmjrqzGzC46XmuTatG
32,1h2JtSy1YkzGyx2jPYt2Nk27AckAs74sSSHMcBFZneVzc8T
33,1jZqirgn6ECrqwYNGUT1No9QSBWTatCkCe2nRzxFw2ufbyN
34,1jeB5w8XyBADtgmVmwk2stWpTyfTVWEgLo85tF7gYVxnmSw
35,1jqkeJhuoRudNTVL5dV1qZf8RQtyzcf6ZT4yyvUQbKFktr8
36,1nQBeeXXhZ3gPH95X1KcLfN5JwPCpFUXR5Sc4A5gr8nCALw
37,1nTfEEWASm1x6D16FPLLjPFC42Fb7Q5zLovrxQpPQe6j86s
38,1qjNXPh99ExYXmuqHgmvfmmwjjka1M21jaVDPddZtKZhzKH
39,1ufRSF5gx9Q8hrYoj7KwpzQzDNqLJdbKrFwC6okxa5gtBRd
40,1v7QwYLMaABh7eyFKN9PHbKquAyPt6PtcYZZWvf12KV5pMk
41,1xsSvZudWSgr65zhRzeHrHHKVzRizHMdbmDKGCkSD5UXJYE
42,1y6CPLgccsysCEii3M7jQF834GZsz9A3HMcZz3w7RjGPpBL
43,1yGJ3h7TQuJWLYSsUVPZbM8aR8UsQXCqMvrFx5Fn1ktiAmq
44,1zugcaaABVRXtyepKmwNR4g5iH2NtTNVBz1McZ81p91uAm8
45,1zugcab6MjhEwA3DvbFBwgrUTpkjr6A7J8W6nUibY5MuQa3
46,1zugcabTuN7rs1bFYb33gRemtg67i4Mvp1twW85nQKiwhwQ
47,1zugcacYFxX3HveFpJVUShjfb3KyaomfVqMTFoxYuUWCdD8
48,1zugcacan4nrJ3HPBmiBgEn2XvRMbehqvmzSQXT3uLBDkh3
49,1zugcag7cJVBtVRnFxv5Qftn7xKAnR6YJ9x4x3XLgGgmNnS
50,1zugcagDxgkJtPQ4cMReSwXUbhQPGgtDEmFdHaaoHAhkKhU
51,1zugcaiwmKdWsfuubmCMBgKKMLSef2TEC3Gfvv5GxLGTKMN
52,1zugcajGg5yDD9TEqKKzGx7iKuGWZMkRbYcyaFnaUaEkwMK
53,1zugcajKZ8XwjWvC5QZWcrpjfnjZZ9FfxRB9f5Hy6GdXBpZ
54,1zugcakrhr3ZR7q7B8WKuaZY5BjZAU43m79xEyhNQwLTFjb
55,1zugcapKRuHy2C1PceJxTvXWiq6FHEDm2xa5XSU7KYP3rJE
56,1zugcawsx74AgoC4wz2dMEVFVDNo7rVuTRjZMnfNp9T49po
57,121gZtuuG6sq3BZp1UKg8oRLRZvp89SAYSxXypwDJjaSRJR5
58,123VugBRFMqUEFviSYrG3ewdZ46ZmqxjmRaGY6BvakfdPVaG
59,124YFXA3XoRs9Epcx3aRUSk3EKYaznocqMWfrMKtGjx8TJ2W
60,1264tb9azwmsVruJFTQ3PKb8yCPjniBVyUV8ppsmbXz8D2Bw
61,126CY11joFMpakVSRra9LtNFYWuUzbtA9BcGPpaEvn7R8RkN
62,126QitTKJ393GUKdTDYjwmSKixFDghmJZ6HBZfy3gVWVqFGs
63,126RwaHn4MDekLWfUYfiqcVbiQHapwDSAT9vZZS15HLqfDJh
64,126gTJ1q3eJE8fFVjCqkfmz7KKr9g6rZSARXE2yeT1PRpFzj
65,12713bbq45c66CN9AD7yusSXWE1kY91DcMpjVcB2rXqZKy2w
66,12771k5UXewvK7FXd1RpPHxvFiCG4GQCrxRmXWN5tAAwDQoi
67,128iAScPNNZcoSXQuFp1VkgW376KqvZs61g9Y36MuUX78ZZ6
68,129TM37DNpyJqtRYYimSMp8aQZ8QW7Jg3b4qtSrRqjgAChQf
69,129o9rYvETVNXW3mLSioZYmb2DieN1uwPKHJUJVNUYiZovBd
70,12BJ7EMWbr7fGVu2DspPtGbxCCdJUfAMVbJtCm6xPEf4WGiS
71,12BxCyEpjmi3fz582Vs99y5o4khR9oRMQXhM9LUcAj4mKaYo
72,12CJw9KNkC7FzVVg3dvny4PWHjjkvdyM17mmNfXyfucp8JfM
73,12DsYUto9AcKA4kRz1yLcGh13CTLe7LbUjDkMS8ZY8rCK4rn
74,12Dwdme7TjaBpd6KUuid9cc4CVr17zkPVmTa5tZ59CDd8trq
75,12ECDEb18Wiy4MoLn3NTM5zhJfDfpS4mLNvjHpcEr8ogGrMZ
76,12EZemmyPLVnf7swvzfHA3ymn4eVRzgnTE6EpLvPpVSDfWd2
77,12F6vXGkoZoFNeVUNhr7MymX79EaSga8YsbZh5hufNhv9VQZ
78,12GTt3pfM3SjTU6UL6dQ3SMgMSvdw94PnRoF6osU6hPvxbUZ
79,12HFymxpDmi4XXPHaEMp74CNpRhkqwG5qxnrgikkhon1XMrj
80,12HTVpN7smNqUwbM5ART7dpoEV1rcY8itrKKMCzGikrJJo6A
81,12JZr1HgK8w6zsbBj6oAEVRkvisn8j3MrkXugqtvc4E8uwLo
82,12KWfEe5ttGK6kfp2bVfh1arhqSdneJpqA5S8pAix8yao1YT
83,12MgK2Sc8Rrh6DXS2gDrt7fWJ24eGeVb23NALbZLMw1grnkL
84,12MqEB7VLqKRgxCoGZXriPuo4GNYtaFiQ1tjMZhooPXAycM2
85,12RVY2KvBCyBuKXNEpjqWVFaePhURwubBXqcyXKsEKdhhujG
86,12Rnwa6JwTYcwv8pVcr5u9CfjTTgbm1wJimKjNpHL7uLV5yF
87,12VYdJfVizmqvYG45qrA2YHjcjPehGJvwy2PRCZG1RnzPtAL
88,12WmM98h4Ar6y7ZyyMKPXwSyuP5GSZvXTbEkDXm1tirbZFW4
89,12YFWxpS32wTZq4HcH28HMR5atkGhxzfD7aNjhTCu5Vyz9J9
90,12bLdVAgWiKHgFHtAaQstasMUWVq35oG9iwHCwsKoFFNoNrk
91,12bUkY5nrGyoXqBpxKDf88z5VQWzaUK83PCgyHtJ1UN1ujjU
92,12doHFjPjPngNvZCWX4WeF4rkLFJ5LmmEyDvPGQ2C1aPppwy
93,12doSHUJN1P6HL9zj96Bh2ZwVBXH7NcCi78caVtte8aQWGHz
94,12eA9gosVR5Qa2hnibGZFNYSbxG3pafNeVGGi5eJQueautfX
95,12eZSMk8GJYE2Lq943dSEnMUoZs1ek7jU8QN3rEA1yPZPjcR
96,12gkhA8JEz8ywmVj1tsVafSp9C4saKzSofgMwBJcmFJAGUVX
97,12iqwZGB2sguEhjFi2ZRuWWixU8mHJnSiP1pwDefqGsBy4rV
98,12jjUEmaKuwC1SxQHe8eXpcv6AzdWiXdvf55VvP1y8bf548b
99,12pgR5dyEkUP6iTR9u7b74Nz7uCsCYKpkFfA5LFbQPjGwNHL
100,12rgiL4r56kPE4PuYmz8snR21isfbrcp5Vbf8VdJe2AWDuus
101,12ud6X3HTfWmV6rYZxiFo6f6QEDc1FF74k91vF76AmCDMT4j
102,12woCF72ik4rYzm8gUagTkEBw4S1zE4rRnAk7SaiHbbV9tDy
103,12wtfs4UfodYT1Y6y8NQsQaduLSJbhz7oaNt1F6gTLFHD1y5
104,12x3EG6dvZv9h3sLNaEFd4z2q8259tNgiEU6vismjrEZjbzN
105,12xedMA9ZJFe6Ui5VDYML3PsCde2LbhUzEYEPyCgFRcJvfRB
106,131Y21vAVYxm7f5xtaV3NydJRpig3CqyvjTyFM8gMpRbFH1T
107,1342iFZNrBfCP9VWxqt5p39LiHp2ynyq85Ww9K7R8w6BURps
108,134Bw4gHcAaHBYx6JVK91b1CeC9yWseVdZqyttpaN5zBHn43
109,138LYmCfDRrt3FxuT9hraYggVfyn6nVkwsn8VZpP3Pnt6xpa
110,138X7AdRKX7myWMwoFgWfHj1WUZKKZrKTr2CZ8pGUUXTrkDu
111,138jGBBQBwJGTmcxK7e8PT4KEAGdpXybMD3GepSJ3T76wuGc
112,139FVSnE8hkd1vVJmECkAsKeLyAJrS6kKq5TxTJbDEq1YvRc
113,139MMfwzrHyveFAuCS5SUaZG85qwM66pRnvoKyST3gd9Ao1F
114,13AtGSHJaDZrLHELmK6iKAuaAKHcetrH73N2KEb5M5SX1yDR
115,13BN4WksoyexwDWhGsMMUbU5okehD19GzdyqL4DMPR2KkQpP
116,13BjZTpwEtPMcHrEbqxpgS8mz44cwv31UgyXoVM2uggSHKAT
117,13Dc43nesjhyPzVX7ZpUjjmQcVMEyrif5ukSHoDpatvpwyrR
118,13EEEhiXeCFpFjVQxmjJsHjr9LFvnAurcnwQ1FDgB5LmJwQp
119,13Hp4FEF7z7famvakw8cgioHqDxcnhnyQkvd1jF4dxn7cayG
120,13HtFCrxyz55KgkPWcnhHPwE8f8GmZrfXR3uC6jNrihGzmqz
121,13JtGDhV9eViRwDcK2krMt4YA7itENsxPLAm7mvXStv5eTrW
122,13KsApgfYuwVz27YwXCpLUHXPtKSv9WpwUEWrMRVTKCh7hsX
123,13KuUijCvWN3pwVcwjzVa2Nov8eZTKy7fJ69sMD7mZyQvjAF
124,13NL7w9SitBziaa9nBhWmuzmEaRTuX1RvWYs21zKyrvBokgT
125,13NdHEywqX71WyUzxEuemk9kdSE9KqEKMo1mhKH44uhTJY3e
126,13Q48Ep3PVpvXA1BeVcUhNJerLshsaeq4EdgPUHnemqJYmND
127,13Q5v2kmjLCfRbcV5TQNkshPERSBVsoodFgZQakdPJsZKaMc
